time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,EUR_GBP_close,EUR_GBP_volume
2018-04-13T18:30:00.000000000Z,1.23334,19.0,1.42455,21.0,0.86581,3.0
2018-04-13T18:31:00.000000000Z,1.23336,16.0,1.42450,9.0,0.86581,2.0
2018-04-13T18:32:00.000000000Z,1.23336,14.0,1.42444,14.0,0.86588,6.0
2018-04-13T18:33:00.000000000Z,1.23335,21.0,1.42430,22.0,0.86591,7.0
2018-04-13T18:34:00.000000000Z,1.23335,19.0,1.42430,3.0,0.86592,3.0
2018-04-13T18:35:00.000000000Z,1.23336,14.0,1.42434,31.0,0.86588,6.0
2018-04-13T18:36:00.000000000Z,1.23338,18.0,1.42438,30.0,0.86590,3.0
2018-04-13T18:37:00.000000000Z,1.23328,8.0,1.42418,21.0,0.86592,1.0
2018-04-13T18:38:00.000000000Z,1.23335,16.0,1.42420,26.0,0.86597,4.0
2018-04-13T18:39:00.000000000Z,1.23331,2.0,1.42418,6.0,0.86597,4.0
2018-04-13T18:40:00.000000000Z,1.23333,18.0,1.42416,15.0,0.86595,2.0
2018-04-13T18:41:00.000000000Z,1.23336,2.0,1.42417,19.0,0.86597,3.0
2018-04-13T18:42:00.000000000Z,1.23335,18.0,1.42417,13.0,0.86599,7.0
2018-04-13T18:43:00.000000000Z,1.23328,17.0,1.42410,3.0,0.86599,2.0
2018-04-13T18:44:00.000000000Z,1.23344,13.0,1.42422,14.0,0.86602,5.0
2018-04-13T18:45:00.000000000Z,1.23340,9.0,1.42422,23.0,0.86602,2.0
2018-04-13T18:46:00.000000000Z,1.23340,6.0,1.42425,13.0,0.86599,3.0
2018-04-13T18:47:00.000000000Z,1.23342,17.0,1.42426,25.0,0.86601,7.0
2018-04-13T18:48:00.000000000Z,1.23326,15.0,1.42404,14.0,0.86600,6.0
2018-04-13T18:49:00.000000000Z,1.23314,58.0,1.42358,129.0,0.86619,33.0
2018-04-13T18:50:00.000000000Z,1.23315,31.0,1.42358,27.0,0.86616,7.0
2018-04-13T18:51:00.000000000Z,1.23301,18.0,1.42350,9.0,0.86612,4.0
2018-04-13T18:52:00.000000000Z,1.23314,29.0,1.42359,41.0,0.86621,5.0
2018-04-13T18:53:00.000000000Z,1.23310,33.0,1.42358,33.0,0.86620,4.0
2018-04-13T18:54:00.000000000Z,1.23304,26.0,1.42360,12.0,0.86612,7.0
2018-04-13T18:55:00.000000000Z,1.23316,29.0,1.42368,46.0,0.86614,5.0
2018-04-13T18:56:00.000000000Z,1.23316,13.0,1.42372,30.0,0.86612,5.0
2018-04-13T18:57:00.000000000Z,1.23314,16.0,1.42360,14.0,0.86618,2.0
2018-04-13T18:58:00.000000000Z,1.23306,14.0,1.42358,8.0,0.86615,1.0
2018-04-13T18:59:00.000000000Z,1.23314,46.0,1.42364,31.0,0.86618,5.0
2018-04-13T19:00:00.000000000Z,1.23344,106.0,1.42389,60.0,0.86622,10.0
2018-04-13T19:01:00.000000000Z,1.23361,56.0,1.42386,38.0,0.86636,8.0
2018-04-13T19:02:00.000000000Z,1.23358,56.0,1.42390,66.0,0.86628,13.0
2018-04-13T19:03:00.000000000Z,1.23364,30.0,1.42404,64.0,0.86634,11.0
2018-04-13T19:04:00.000000000Z,1.23352,23.0,1.42376,45.0,0.86636,7.0
2018-04-13T19:05:00.000000000Z,1.23360,59.0,1.42370,58.0,0.86646,6.0
